origin,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
EWR,2017,1,1,0,NA,NA,NA,200,17.261699999999998,19.864419125999994,NA,NA,10,2017-01-01T08:00:00Z
EWR,2017,1,1,1,NA,NA,NA,220,16.11092,18.5401245176,NA,NA,10,2017-01-01T09:00:00Z
EWR,2017,1,1,2,NA,NA,NA,190,11.5078,13.242946083999998,NA,NA,10,2017-01-01T10:00:00Z
EWR,2017,1,1,3,NA,NA,NA,190,8.05546,9.2700622588,NA,NA,10,2017-01-01T11:00:00Z
EWR,2017,1,1,4,NA,NA,NA,220,9.20624,10.594356867199998,NA,NA,10,2017-01-01T12:00:00Z
EWR,2017,1,1,5,NA,NA,NA,220,11.5078,13.242946083999998,NA,NA,10,2017-01-01T13:00:00Z
EWR,2017,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,10,2017-01-01T14:00:00Z
EWR,2017,1,1,7,NA,NA,NA,230,9.20624,10.594356867199998,NA,NA,10,2017-01-01T15:00:00Z
EWR,2017,1,1,8,NA,NA,NA,230,8.05546,9.2700622588,NA,NA,10,2017-01-01T16:00:00Z
EWR,2017,1,1,9,NA,NA,NA,230,8.05546,9.2700622588,NA,NA,10,2017-01-01T17:00:00Z
EWR,2017,1,1,10,NA,NA,NA,220,11.5078,13.242946083999998,NA,NA,10,2017-01-01T18:00:00Z
EWR,2017,1,1,11,NA,NA,NA,220,9.20624,10.594356867199998,NA,NA,10,2017-01-01T19:00:00Z
EWR,2017,1,1,12,NA,NA,NA,230,12.658579999999999,14.567240692399997,NA,NA,10,2017-01-01T20:00:00Z
EWR,2017,1,1,13,NA,NA,NA,230,10.357019999999999,11.918651475599997,NA,NA,10,2017-01-01T21:00:00Z
EWR,2017,1,1,14,NA,NA,NA,240,11.5078,13.242946083999998,NA,NA,10,2017-01-01T22:00:00Z
EWR,2017,1,1,15,NA,NA,NA,NA,NA,NA,NA,NA,10,2017-01-01T23:00:00Z
EWR,2017,1,1,16,NA,NA,NA,270,16.11092,18.5401245176,NA,NA,10,2017-01-02T00:00:00Z
EWR,2017,1,1,17,NA,NA,NA,350,10.357019999999999,11.918651475599997,NA,NA,10,2017-01-02T01:00:00Z
EWR,2017,1,1,18,NA,NA,NA,310,10.357019999999999,11.918651475599997,NA,NA,10,2017-01-02T02:00:00Z
EWR,2017,1,1,19,NA,NA,NA,310,13.809359999999998,15.891535300799996,NA,NA,10,2017-01-02T03:00:00Z
EWR,2017,1,1,20,NA,NA,NA,320,11.5078,13.242946083999998,NA,NA,10,2017-01-02T04:00:00Z
EWR,2017,1,1,21,NA,NA,NA,320,9.20624,10.594356867199998,NA,NA,10,2017-01-02T05:00:00Z
EWR,2017,1,1,22,NA,NA,NA,320,6.904679999999999,7.945767650399998,NA,NA,10,2017-01-02T06:00:00Z
EWR,2017,1,1,23,NA,NA,NA,340,8.05546,9.2700622588,NA,NA,10,2017-01-02T07:00:00Z
EWR,2017,1,2,0,NA,NA,NA,20,3.4523399999999995,3.972883825199999,NA,NA,10,2017-01-02T08:00:00Z
EWR,2017,1,2,1,NA,NA,NA,50,4.60312,5.297178433599999,NA,NA,10,2017-01-02T09:00:00Z
EWR,2017,1,2,2,NA,NA,NA,30,4.60312,5.297178433599999,NA,NA,10,2017-01-02T10:00:00Z
EWR,2017,1,2,3,NA,NA,NA,10,4.60312,5.297178433599999,NA,NA,10,2017-01-02T11:00:00Z
EWR,2017,1,2,4,NA,NA,NA,20,10.357019999999999,11.918651475599997,NA,NA,10,2017-01-02T12:00:00Z
EWR,2017,1,2,5,NA,NA,NA,20,3.4523399999999995,3.972883825199999,NA,NA,10,2017-01-02T13:00:00Z
EWR,2017,1,2,6,NA,NA,NA,20,5.7539,6.621473041999999,NA,NA,10,2017-01-02T14:00:00Z
EWR,2017,1,2,7,NA,NA,NA,30,3.4523399999999995,3.972883825199999,NA,NA,10,2017-01-02T15:00:00Z
EWR,2017,1,2,8,NA,NA,NA,30,8.05546,9.2700622588,NA,NA,10,2017-01-02T16:00:00Z
EWR,2017,1,2,9,NA,NA,NA,10,5.7539,6.621473041999999,NA,NA,10,2017-01-02T17:00:00Z
EWR,2017,1,2,10,NA,NA,NA,10,6.904679999999999,7.945767650399998,NA,NA,10,2017-01-02T18:00:00Z
EWR,2017,1,2,11,NA,NA,NA,20,5.7539,6.621473041999999,NA,NA,10,2017-01-02T19:00:00Z
EWR,2017,1,2,12,NA,NA,NA,20,6.904679999999999,7.945767650399998,NA,NA,10,2017-01-02T20:00:00Z
EWR,2017,1,2,13,NA,NA,NA,20,9.20624,10.594356867199998,NA,NA,9,2017-01-02T21:00:00Z
EWR,2017,1,2,14,NA,NA,NA,20,9.20624,10.594356867199998,NA,NA,10,2017-01-02T22:00:00Z
EWR,2017,1,2,15,NA,NA,NA,20,10.357019999999999,11.918651475599997,NA,NA,10,2017-01-02T23:00:00Z
EWR,2017,1,2,16,NA,NA,NA,30,5.7539,6.621473041999999,NA,NA,9,2017-01-03T00:00:00Z
EWR,2017,1,2,17,NA,NA,NA,70,8.05546,9.2700622588,NA,NA,8,2017-01-03T01:00:00Z
EWR,2017,1,2,18,NA,NA,NA,60,6.904679999999999,7.945767650399998,NA,NA,8,2017-01-03T02:00:00Z
EWR,2017,1,2,19,NA,NA,NA,30,9.20624,10.594356867199998,NA,NA,5,2017-01-03T03:00:00Z
EWR,2017,1,2,20,NA,NA,NA,30,9.20624,10.594356867199998,NA,NA,5,2017-01-03T04:00:00Z
EWR,2017,1,2,21,NA,NA,NA,40,11.5078,13.242946083999998,NA,NA,2.5,2017-01-03T05:00:00Z
EWR,2017,1,2,22,NA,NA,NA,40,6.904679999999999,7.945767650399998,NA,NA,4,2017-01-03T06:00:00Z
EWR,2017,1,2,23,NA,NA,NA,30,10.357019999999999,11.918651475599997,NA,NA,3,2017-01-03T07:00:00Z
EWR,2017,1,3,0,NA,NA,NA,20,11.5078,13.242946083999998,0.01,NA,3,2017-01-03T08:00:00Z
EWR,2017,1,3,1,NA,NA,NA,20,11.5078,13.242946083999998,NA,NA,4,2017-01-03T09:00:00Z
EWR,2017,1,3,2,NA,NA,NA,40,11.5078,13.242946083999998,NA,NA,6,2017-01-03T10:00:00Z
EWR,2017,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,6,2017-01-03T11:00:00Z
EWR,2017,1,3,4,NA,NA,NA,30,12.658579999999999,14.567240692399997,NA,NA,2.5,2017-01-03T12:00:00Z
EWR,2017,1,3,5,NA,NA,NA,40,12.658579999999999,14.567240692399997,0.01,NA,3,2017-01-03T13:00:00Z
EWR,2017,1,3,6,NA,NA,NA,30,11.5078,13.242946083999998,NA,NA,5,2017-01-03T14:00:00Z
EWR,2017,1,3,7,NA,NA,NA,30,11.5078,13.242946083999998,NA,NA,4,2017-01-03T15:00:00Z
EWR,2017,1,3,8,NA,NA,NA,20,10.357019999999999,11.918651475599997,NA,NA,3,2017-01-03T16:00:00Z
EWR,2017,1,3,9,NA,NA,NA,20,12.658579999999999,14.567240692399997,NA,NA,3,2017-01-03T17:00:00Z
EWR,2017,1,3,10,NA,NA,NA,30,11.5078,13.242946083999998,0.01,NA,3,2017-01-03T18:00:00Z
EWR,2017,1,3,11,NA,NA,NA,30,14.960139999999999,17.215829909199996,NA,NA,4,2017-01-03T19:00:00Z
EWR,2017,1,3,12,NA,NA,NA,40,13.809359999999998,15.891535300799996,NA,NA,4,2017-01-03T20:00:00Z
EWR,2017,1,3,13,NA,NA,NA,40,19.56326,22.5130083428,NA,NA,4,2017-01-03T21:00:00Z
EWR,2017,1,3,14,NA,NA,NA,30,13.809359999999998,15.891535300799996,NA,NA,1.5,2017-01-03T22:00:00Z
EWR,2017,1,3,15,NA,NA,NA,40,11.5078,13.242946083999998,NA,NA,2.5,2017-01-03T23:00:00Z
EWR,2017,1,3,16,NA,NA,NA,30,13.809359999999998,15.891535300799996,0.01,NA,2,2017-01-04T00:00:00Z
EWR,2017,1,3,17,NA,NA,NA,30,12.658579999999999,14.567240692399997,NA,NA,4,2017-01-04T01:00:00Z
EWR,2017,1,3,18,NA,NA,NA,40,12.658579999999999,14.567240692399997,0.01,NA,3,2017-01-04T02:00:00Z
EWR,2017,1,3,19,NA,NA,NA,30,13.809359999999998,15.891535300799996,NA,NA,7,2017-01-04T03:00:00Z
EWR,2017,1,3,20,NA,NA,NA,40,13.809359999999998,15.891535300799996,NA,NA,1.75,2017-01-04T04:00:00Z
EWR,2017,1,3,21,NA,NA,NA,30,13.809359999999998,15.891535300799996,0.04,NA,1.5,2017-01-04T05:00:00Z
EWR,2017,1,3,22,NA,NA,NA,30,13.809359999999998,15.891535300799996,NA,NA,10,2017-01-04T06:00:00Z
